 orderId ,Account,Order ID,B/S,Contract,Product,Product Description,avgPrice,filledQty,Fill Time,lastCommandId,Status,_priceFormat,_priceFormatType,_tickSize,spreadDefinitionId,Version ID,Timestamp,Date,Quantity,Text,Type,Limit Price,Stop Price,decimalLimit,decimalStop,Filled Qty,Avg Fill Price,decimalFillAvg
1.05E+11,PAAPEX2173420000001,1.05E+11, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,19946.75,1,10/1/2024 7:26,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/1/2024 7:26,10/1/2024,1,Tradingview, Limit,19946.75,,19946.75,,1,19946.75,19946.75
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,19919.25,1,10/1/2024 7:27,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/1/2024 7:26,10/1/2024,1,Tradingview, Stop,,19920,,19920,1,19919.25,19919.25
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,1.05E+11, Canceled,-2,0,0.25,,1.05E+11,10/1/2024 7:26,10/1/2024,1,Tradingview, Limit,20089,,20089,,,,
1.05E+11,PAAPEX2173420000001,1.05E+11, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,1.05E+11, Canceled,-2,0,0.25,,1.05E+11,10/2/2024 6:58,10/2/2024,2,Tradingview, Limit,19897,,19897,,,,
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,1.05E+11, Canceled,-2,0,0.25,,1.05E+11,10/2/2024 6:58,10/2/2024,2,Tradingview, Stop,,19869.5,,19869.5,,,
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,1.05E+11, Canceled,-2,0,0.25,,1.05E+11,10/2/2024 6:58,10/2/2024,2,Tradingview, Limit,20011,,20011,,,,
1.05E+11,PAAPEX2173420000001,1.05E+11, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20098.75,2,10/4/2024 7:06,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/4/2024 7:06,10/4/2024,2,Tradingview, Limit,20099,,20099,,2,20098.75,20098.75
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,1.05E+11, Canceled,-2,0,0.25,,1.05E+11,10/4/2024 7:06,10/4/2024,2,Tradingview, Stop,,20070.5,,20070.5,,,
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,1.05E+11, Canceled,-2,0,0.25,,1.05E+11,10/4/2024 7:06,10/4/2024,2,Tradingview, Limit,20262.25,,20262.25,,,,
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20085,2,10/4/2024 7:08,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/4/2024 7:08,10/4/2024,2,Exit, Market,,,,,2,20085,20085
1.05E+11,PAAPEX2173420000001,1.05E+11, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20090.5,2,10/4/2024 7:20,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/4/2024 7:19,10/4/2024,2,Tradingview, Limit,20090.5,,20090.5,,2,20090.5,20090.5
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20064.75,2,10/4/2024 7:22,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/4/2024 7:20,10/4/2024,2,Tradingview, Stop,,20064.75,,20064.75,2,20064.75,20064.75
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,1.05E+11, Canceled,-2,0,0.25,,1.05E+11,10/4/2024 7:20,10/4/2024,2,Tradingview, Limit,20253.75,,20253.75,,,,
1.05E+11,PAAPEX2173420000001,1.05E+11, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20124,2,10/7/2024 7:08,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/7/2024 7:04,10/7/2024,2,Tradingview, Limit,20124,,20124,,2,20124,20124
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20152,1,10/7/2024 7:40,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/7/2024 7:24,10/7/2024,1,Tradingview, Stop,,20152.25,,20152.25,1,20152,20152
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,,,,1.05E+11, Canceled,-2,0,0.25,,1.05E+11,10/7/2024 7:17,10/7/2024,1,Tradingview, Limit,20203.75,,20203.75,,,,
1.05E+11,PAAPEX2173420000001,1.05E+11, Sell,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20163.5,1,10/7/2024 7:16,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/7/2024 7:10,10/7/2024,1,Tradingview, Limit,20163.5,,20163.5,,1,20163.5,20163.5
1.05E+11,PAAPEX2173420000001,1.05E+11, Buy,MNQZ4,MNQ,Micro E-mini NASDAQ-100,20268,2,10/9/2024 6:42,1.05E+11, Filled,-2,0,0.25,,1.05E+11,10/9/2024 6:40,10/9/2024,2,Tradingview, Limit,20268,,20268,,2,20268,20268
